# paper-shield 示例事件账 · 阿May（虚构人物）
# 列：日期/目标/事件/备注
# 事件：backup（任务跑过）| verify（校验过：hash/试读）| drill（恢复演练：真还原过文件）
# backup 只是绿勾；verify 才证明副本是活的；drill 才证明回得来
2026-02-15	NAS·文档	verify	半年一次的全库 hash 校验
2026-03-01	文档云	verify	抽样试读 20 个文件
2026-03-18	工位冷备盘	backup	季度拷贝，搬去公司工位抽屉
2026-05-20	文档云	drill	恢复演练：还原了 3 份合同 PDF，用时 25 分钟
2026-06-10	NAS·照片	verify	抽查 2025 年照片索引
2026-07-26	硬盘·照片	verify	全盘 hash 校验通过
2026-08-09	NAS·照片	backup	之后 NAS 静默失败：空间满了，没有通知
2026-08-09	NAS·作品	backup	同上
2026-08-25	文档云	backup	自动同步
2026-08-30	NAS·文档	backup	手动触发
2026-09-01	硬盘·照片	backup	每周例行
2026-09-01	硬盘·作品	backup	每周例行
2026-09-02	照片云	backup	自动上传
